# Source: https://nihongoaz.com/3000-most-common-japanese-words.html
# Japanese,Pronunciation,English Meaning
行く,iku,go
尽くす,tsukusu,"make utmost efforts, devote to"
地球,chikyuu,the earth
不親切,fushinsetsu,"unkind, inconsiderate"
からから,karakara,"very thirsty, very dry"
本箱,honbako,bookcase
横書き,yokogaki,horizontal writing
そば屋,sobaya,buckwheat noodle shop
加工,kakou,processing
実験,jikken,experiment
愛する,aisuru,"love, care for"
あんまり,anmari,"(not) that much, (not) so much"
いきなり,ikinari,"all of a sudden, suddenly"
表,omote,"front, outside"
汚れ,yogore,"dirt, blot"
間,aida,"interval, space between things"
紫,murasaki,purple
灰色,haiiro,"ash color, gray"
血,chi,blood (colloquial)
顎,ago,"jaw, chin"
始めに,hajimeni,"in the beginning, first"
暖まる,atatameru,get warm
お世辞,oseji,"compliment, flattery"
袋,fukuro,"bag, sack"
長袖,nagasode,long sleeves
半袖,hansode,short sleeves
形,katachi,"shape, form"
景色,keshiki,natural scenery or landscape
ざあざあ,zaazaa,pouring
再来月,saraigetsu,the month after next
泊める,tomeru,let (someone) stay over
叱る,shikaru,"scold, reprimand"
騒ぐ,sawagu,"make a noise, make a racket"
車道,Shadou,"road, roadway (for cars)"
掃除機,Soujiki,vacuum cleaner
剃る,soru,shave
貼る,haru,"stick, paste, put"
台,dai,"stand, table"
主に,omoni,"mostly, predominantly"
倒す,taosu,"knock down, overthrow"
星,hoshi,"star, planet"
長女,choujo,eldest daughter
爪,tsume,"nail, claw"
缶,kan,"can, tin"
とんとん,tonton,"tapping, patting"
袖,sode,sleeve
濡れる,nureru,get wet
パーセント,pa-sento,percent
上がる,agaru,"go up, increase (in quality or quantity)"
拍手,hakushu,"applause, clapping"
弾く,hiku,play (instruments)
ひも,himo,"laces, string"
昼過ぎ,hirusugi,early afternoon
船,fune,"ship, vessel"
まく,maku,"scatter, sprinkle"
姪,mei,niece
個人,kojin,individual person
歌手,kashu,singer
社員,Shain,"staff member, employee"
不動産屋,fudousanya,real estate agent
最大,saidai,"biggest, largest"
動き,ugoki,"movement, motion"
事件,jiken,"affair, incident"
過去,kako,the past
協力,kyouryoku,"cooperation, collaboration"
時期,jiki,"time, season"
経つ,tatsu,"pass, elapse"
雷,kaminari,"thunder, lightning"
責任,sekinin,responsibility
願う,negau,"wish, desire"
発見,hakken,"discovery, revelation"
気,ki,"spirit, temperament"
美容院,byouin,hair salon
状況,joukyou,"state of affairs, conditions"
目的,mokuteki,"objective, purpose"
企業,kigyou,"corporation, business"
釣り,tsuri,fishing
漫画,manga,"comics, cartoon"
温泉,onsen,hot spring
トレーニング,tore-ningu,"training, workout"
噂,uwasa,"gossip, rumor"
本物,honmono,"real, truly worthy (things, people)"
アイデア,aidea,idea
地下,chika,underground
マーケット,ma-ketto,market
スケジュール,sukeju-ru,schedule (loan word)
出張,shucchou,business trip
コック,kokku,"cook, chef"
正午,shougo,noon
ブラシ,burashi,brush
書き取る,kakitoru,"write down, note down"
歓迎,kangei,"welcome, greet"
開発,kaihatsu,development
郵便屋さん,yuubinyasan,mail carrier
会長,kaichou,"president, chairperson"
金,kin,gold
灰,hai,ashes
骨,hone,bone
風呂屋,furoya,"bathhouse, public bath"
細か,komaka,"small, fine, detailed"
行き,yuki,"going, bound for (traditional reading)"
人々,hitobito,people
寺,tera,temple
鶏,niwatori,"rooster, hen"
港,minato,"port, harbor"
移る,utsuru,"move, shift"
異なる,kotonaru,differ
提供,teikyou,"offer, provide"
市民,shimin,citizens
患者,kanja,patient
元旦,gantan,"morning of the January 1st, New Year’s Day"
柔らかい,yawarakai,"soft, gentle"
似合う,niau,"suit, match well"
確かめる,tashikameru,"check, confirm"
背中,senaka,(one’s) back
肌,hada,"human skin, surface"
順番,junban,"order, turn"
まとも,matomo,"sane, reasonable"
ぴったり,pittari,"exactly right, perfect"
思わず,omowazu,"unintentionally, unconsciously"
より,yori,"even more ~, even less ~"
もったいない,mottainai,"wasteful, a shame"
情報,jouhou,information
諦める,akirameru,"abandon, give up"
懐かしい,natsukashii,"fondly-remembered, long-forgotten"
怪しい,ayashii,"suspicious, dubious"
示す,shimesu,"show, indicate"
たっぷり,tappuri,"fully, amply"
早速,sassoku,"immediately, right away"
偶然,guuzen,"by chance, coincidence"
続き,tsuduki,"continuation, sequel"
合計,goukei,"sum, total"
傷,kizu,"wound, scar"
面倒,mendou,"troublesome, difficult"
具合,guai,"condition, health"
中止,chuushi,"suspension, cancellation"
手続き,tetsuduki,"procedure, proceeding"
結果,kekka,"result, outcome"
建設,kensetsu,"construction (of a building, road, bridge, etc.)"
販売,hanbai,"sale, selling"
機能,kinou,"function, feature"
頃,koro,"time, the time when ~"
日中,Nicchuu,during the day
今後,Kongo,"in the future, from now on"
影響,eikyou,"influence, effect"
分野,bunya,"field, area"
関する,kansuru,"relate to, regarding"
状態,joutai,"state, condition"
価格,kakaku,"price, value"
姿,sugata,"figure, appearance"
期待,kitai,"expectation, anticipation"
除く,nozoku,"remove, exclude"
一般,ippan,"general, common"
表現,hyougen,expression
完成,kansei,"completion, finish making or building something"
変化,henka,"change, alteration"
参加,sanka,participation
土地,tochi,land
検討,kentou,examination and consideration
開始,kaishi,beginning
備える,sonaete,"provide for, prepare for"
内容,naiyou,content
与える,ataeru,give (formal)
広がる,hirogaru,"spread out, extend"
事実,jijitsu,"fact, truth"
決定,kettei,decision
住宅,juutaku,"housing, residence"
代表,daihyou,representative
命令,meirei,"command, order"
立場,tachiba,"standpoint, position"
なお,Nao,"still, in addition"
計算,keisan,calculation
可能,kanou,"possible, potential"
報告,houkoku,report
都市,toshi,"city, town"
政治,seiji,politics
競争,kyousou,competition
原因,genin,"cause, origin"
活動,katsudou,activity
歴史,rekishi,history
表,hyou,"table, list"
サイト,saito,website
土産,miyage,souvenir (plain)
臭い,nioi,(bad) smell
現金,genkin,cash
虫,mushi,"insect, bug"
寄る,yoru,"stop by, stop off"
田舎,inaka,"hometown, countryside"
帰宅,kitaku,"return home, come home"
重大,juudai,"important, serious"
マイナス,mainasu,"minus, below zero"
稼ぐ,kasegu,"earn, make money"
左右,sayuu,right and left
痛み,itami,"pain, ache"
誤解,gokai,misunderstanding
文句,monku,"complaint, grumble"
欧米,oubei,Europe and America
面接,mensetsu,interview
サイン,sain,"signature, autograph"
年中,nenjuu,all year
機嫌,kigen,"mood, health"
居間,ima,living room
度々,tabitabi,often
例文,reibun,example sentence
怠ける,namakeru,"be lazy, slack off"
転勤,tenkin,"change of job location, relocation"
政府,seifu,"government, administration"
所有,shoyuu,"ownership, own"
いずれ,izure,"sometime later, eventually"
対する,taisuru,"face, be in response to"
教会,kyoukai,church
ご存知,gozonji,know (honorific)
雀,suzume,sparrow
適当,tekitou,"proper, adequate"
残り,nokori,"rest, leftover"
戻す,modosu,put (something) back
体重,taijuu,body weight
どうせ,douse,anyway
あれこれ,arekore,"this and that, one thing or another"
湖,mizuumi,lake
とうとう,toutou,"finally, in the end"
負け,make,"defeat, loss"
悔しい,kuyashii,"frustrating, regrettable"
姉妹,shimai,sisters
助かる,tasukaru,"be helped, be rescued"
手前,temae,in front
さっぱり,sappari,completely not
ついで,tsuide,"on the way, to take the opportunity"
すっきり,sukkiri,refreshed
とんでもない,tondemonai,"unthinkable, outrageous"
坂,saka,"slope, hill"
飛び込む,tobikomu,"dive into, jump into"
コメント,komento,comment
書き直す,kakinaosu,rewrite
看護婦,kangofu,female nurse
就職,shuushoku,"finding a job, getting a job"
糸,ito,"thread, yarn"
売り場,uriba,"sales floor, department"
校長,kouchou,"principal, schoolmaster"
見学,kengaku,field trip
進学,shingaku,advance to higher education
退院,taiin,discharge from hospital
テント,tento,tent
踊り,odori,"dance, dancing"
植える,ueru,"plant, sow"
幼稚園,youchien,kindergarten
エアメール,eameeru,airmail
四季,shiki,the four seasons
ナイロン,nairon,nylon
消防車,shoubousha,fire engine
ハンドバッグ,handobaggu,handbag
農業,nougyou,agriculture
アイロン,airon,iron (for clothes)
ラッシュアワー,rasshuawaa,rush hour
速達,sokutatsu,"special delivery, express delivery"
予習,yoshuu,"preparation, previewing (a lesson)"
書留,kakitome,registered mail
深さ,fukasa,"depth, profundity"
ウィスキー,wisukii,whisky
シャープペンシル,shaapupenshiru,mechanical pencil
取引,torihiki,"transaction, deal"
設ける,moukeru,"set up, establish"
一定,ittei,"fixed, certain"
記者,kisha,"journalist, reporter"
基準,kijun,"standard, criterion"
傾向,keikou,"tendency, disposition"
契約,keiyaku,"contract, agreement"
産業,sangyou,industry
事情,jijou,"circumstances, conditions"
実行,jikkou,"practice, execution"
組織,soshiki,"organization, structure"
逮捕,taiho,"arrest, capture"
程度,teido,"degree, extent"
同様,douyou,"similar, the same as"
要求,youkyuu,"need, demand"
貿易,boueki,(export and import) trade
輸出,yushutsu,export
商業,shougyou,"commerce, trade"
船便,funabin,"surface mail, shipping service"
選挙,senkyo,election
住民,juumin,resident
出席,shusseki,"attendance, presence"
発言,hatsugen,"utterance, remark"
伴う,tomonau,"accompany, entail"
採用,saiyou,"employment, adoption"
処理,shori,"handling, processing"
解決,kaiketsu,"solution, settlement"
全国,zenkoku,the whole country
作業,sagyou,"work, operation"
生産,seisan,production
管理,kanri,"management, administration"
増加,zouka,"increase, rise"
特徴,tokuchou,"distinctive feature, characteristic"
強調,kyouchou,"emphasis, stress"
制度,seido,system
株,kabu,"stock, share"
加える,kuwaeru,add (things of the same or different kinds)
強化,kyouka,strengthening
設計,sekkei,"design, plan"
段階,dankai,"stage, phase"
行う,okonau,"do, carry out"
経済,keizai,"economy, economics"
工場,koujou,"factory, plant"
技術,gijutsu,"skill, technology"
施設,shisetsu,"facilities, institution"
神,kami,God
人口,jinkou,population
党,tou,"party, faction"
輸入,yunyuu,import
煮る,niru,"simmer, cook"
コンサート,konsaato,concert
ガソリン,gasorin,gasoline
パンツ,pantsu,"pants, trousers"
そっくり,sokkuri,almost identical
名刺,meishi,"business card, name card"
いちいち,ichiichi,"every time, about everything"
しつこい,shitsukoi,"persistent, pesky"
喉,nodo,throat
身長,shinchou,height
何で,nande,"why, what for"
味噌,miso,soybean paste
気の毒,kinodoku,"pitiful, poor"
そっと,sotto,"softly, gently"
こっそり,kossori,secretly
うっかり,ukkari,"carelessly, accidentally"
わざと,wazato,on purpose
がっかり,gakkari,"disappointed, disappointing"
ぼんやり,bonyari,"vacantly, absent-mindedly"
酢,su,vinegar
羨ましい,urayamashii,"envious, jealous"
捕まえる,tsukamaeru,"catch, arrest"
ちっとも,chittomo,not at all
親指,oyayubi,thumb
通り過ぎる,toorisugiru,"go past, pass"
屋上,okujou,"housetop, rooftop"
蓋,futa,"lid, cover"
いつの間にか,itsunomanika,"before noticing it, out of nowhere"
象,zou,elephant
嫌がる,iyagaru,"dislike, be unwilling"
わがまま,wagamama,selfish
徹夜,tetsuya,staying up all night
まあまあ,maamaa,"now now, well well"
ふざける,fuzakeru,"mess around, fool around"
一度に,ichidoni,"all at once, at a time"
頷く,unazuku,nod
改札,kaisatsu,ticket gate
手伝い,tetsudai,"help, assistance"
とっくに,tokkuni,"long ago, already"
洗剤,senzai,detergent
手首,tekubi,wrist
日帰り,higaeri,a day trip
取り消す,torikesu,cancel
あきれる,akireru,"be amazed at, be stunned by (something negative)"
月末,getsumatsu,end of the month
咳,seki,cough
あいにく,ainiku,"unfortunately, we are afraid that"
近寄る,chikayoru,"go near, approach"
うろうろ,urouro,"in a loafing-about manner, not really knowing what to do"
重たい,omotai,"heavy, serious"
かじる,kajiru,"nibble, bite"
長引く,nagabiku,"be prolonged, drag on"
せっせと,sesseto,"diligently, hard"
横切る,yokogiru,cut across
取り替える,torikaeru,"change, replace"
からかう,karakau,"make fun of, tease"
好き嫌い,sukikirai,"likes and dislikes, taste"
蒸し暑い,mushiatsui,hot and humid
支度,shitaku,"preparation, getting ready"
薄暗い,usugurai,"gloomy, dim"
着替え,kigae,change of clothes
ワンピース,wanpiisu,one-piece dress
生年月日,seinengappi,year and date of birth
虫歯,mushiba,cavity
留守番,rusuban,looking after the house
張り切る,harikiru,"go all out, be full of energy (to do something)"
意地悪,ijiwaru,"mean, ill-natured"
生意気,namaiki,"impudent, cocky"
シーツ,shiitsu,bed sheet
フライパン,furaipan,frying pan
一人一人,hitorihitori,each and every person
話し掛ける,hanashikakeru,"start a conversation, speak to (someone)"
追い掛ける,oikakeru,"chase, run after"
小指,koyubi,"little finger, little toe"
ぴかぴか,pikapika,"shiny, glittering"
中指,nakayubi,"middle finger, middle toe"
まぶた,mabuta,eyelid
面倒臭い,mendoukusai,"troublesome, tiresome"
ゆでる,yuderu,boil
できるだけ,dekirudake,as (much) as possible
もしかしたら,moshikashitara,"possibly, perhaps"
いつまでも,itsumademo,forever
まぶしい,mabushii,"dazzling, glaring"
おやつ,oyatsu,"snack, refreshment"
空っぽ,karappo,empty
ぶつぶつ,butsubutsu,"in a mutter, mumble"
すっと,sutto,"(feel) refreshed, satisfied"
図々しい,zuuzuushii,"impudent, cheeky"
にっこり,nikkori,smiling brightly
けち,kechi,"stingy, miser"
追い付く,oitsuku,catch up with
くしゃみ,kushami,sneeze
冷ます,samasu,let cool
だらしない,darashinai,"untidy, sloppy"
甘やかす,amayakasu,"be indulgent to, spoil"
いらいら,iraira,irritated
薬指,kusuriyubi,ring finger
のろのろ,noronoro,"slowly, sluggishly"
ポイント,pointo,point
工業,kougyou,"industry, the manufacturing industry"
構造,kouzou,"construction, structure"
さすが,sasuga,"just as expected, true to reputation"
居眠り,inemuri,"doze, catnap"
散らかす,chirakasu,make a mess
濡らす,nurasu,get (something) wet
日にち,hinichi,date (fixed for something)
苛める,ijimeru,"bully, abuse"
足下,ashimoto,"step, under foot"
うさぎ,usagi,"rabbit, hare"
紺,kon,"dark blue, navy blue"
目茶苦茶,mechakucha,"in a mess, chaotic"
立ち入り禁止,tachiirikinshi,no trespassing
間もなく,mamonaku,"soon, in a short time"
通帳,tsuuchou,"bankbook, passbook"
しびれる,shibireru,"go numb, fall asleep"
ぎっしり,gisshiri,"tightly, closely"
うがい,ugai,gargling
思い付く,omoitsuku,"think of, hit upon"
宛名,atena,"name of recipient, addressee"
戸棚,todana,cupboard
焦げる,kogeru,"be burned, be scorched"
かく,kaku,scratch
威張る,ibaru,"be arrogant, be boastful"
人混み,hitogomi,crowd
ずらり,zurari,lining up neatly
思い切り,omoikiri,"to one’s heart’s content, with all one’s might"
青白い,aojiroi,pale
しゃがむ,shagamu,squat down
言葉遣い,kotobadukai,"wording, language"
通り掛かる,toorikakaru,happen to pass by
御無沙汰,gobusata,be out of touch
市場,shijou,"market (industrial, financial, etc.)"
データ,deeta,data
購入,kounyuu,purchase
ビジネス,bijinesu,business
俺,ore,I (masculine sense)
登録,touroku,registration
体験,taiken,personal experience
デザイン,dezain,design
負担,futan,"burden, charge"
詳細,shousai,"details, particulars"
アップ,appu,close-up
終了,shuuryou,"end, termination"
ファン,fan,"fan, admirer"
予想,yosou,"expectation, forecast"
企画,kikaku,"planning, project"
財政,zaisei,"public finance, financial affairs"
総合,sougou,"integration, put together"
ケース,keesu,case
メーカー,meekaa,"maker, manufacturer"
治療,chiryou,medical treatment
読者,dokusha,reader
職員,shokuin,"staff, employee"
世代,sedai,generation
視点,shiten,"viewpoint, perspective"
効率,kouritsu,"efficiency, performance"
資産,shisan,"property, assets"
取り組む,torikumu,"work on, tackle"
ルール,ruuru,rule
資格,shikaku,"qualifications, competence"
成果,seika,result
前提,zentei,"assumption, premise"
現地,genchi,"local, on-site"
内部,naibu,"interior, inner parts"
所得,shotoku,"income, earnings"
恋愛,renai,"romance, relationship"
支持,shiji,support
危機,kiki,"crisis, danger"
マスコミ,masukomi,"mass media, media"
証拠,shouko,"proof, evidence"
コーナー,koonaa,"section (of a store etc.), corner"
マーク,maaku,logo
減少,genshou,"decrease, decline"
緊急,kinkyuu,"urgent, emergency"
要望,youbou,"demand, request"
ストレス,sutoresu,stress
主催,shusai,"sponsorship, host"
ベスト,besuto,best
犠牲,gisei,"sacrifice, loss"
暴力,bouryoku,"violence, force"
赤字,akaji,"deficit, in the red"
個性,kosei,"individuality, unique characteristics"
作戦,sakusen,"tactic, strategy"
ショック,shokku,shock
アンケート,ankeeto,questionnaire
わざわざ,wazawaza,going out of one’s way to do something
本気,honki,"serious, earnest"
悩み,nayami,"troubles, worries"
上司,joushi,boss
説得,settoku,persuasion
ブーム,buumu,"fad, boom"
体力,tairyoku,"physical strength, stamina"
正常,seijou,normal
ヒント,hinto,"hint, clue"
地獄,jigoku,hell
後悔,koukai,regret
情熱,jounetsu,"passion, enthusiasm"
驚き,odoroki,"surprise, amazement"
ジャンプ,janpu,jump
アルコール,arukooru,"alcohol, alcoholic beverage"
いい加減,iikagen,"irresponsible, careless"
わくわく,wakuwaku,"feel excited, be thrilled"
言い訳,iiwake,excuse
ミュージック,myuujikku,music
青春,seishun,"blossom of youth, adolescence"
あっさり,assari,"bluntly, easily"
焦る,aseru,"feel pressured, feel hurried"
柔軟,juunan,"pliable, flexible"
タレント,tarento,"celebrity, TV personality"
どうにか,dounika,somehow
コンテスト,kontesuto,"contest, competition"
もてる,moteru,be popular (esp. with the opposite sex)
デザート,dezaato,dessert
クイズ,kuizu,"quiz, quiz show"
中毒,chuudoku,"poisoning, addiction"
ムード,muudo,mood
同情,doujou,"sympathy, compassion"
学歴,gakureki,educational background
好調,kouchou,good condition
アマチュア,amachua,amateur
炒める,itameru,stir-fry
カメラマン,kameraman,photographer
問い合わせる,toiawaseru,"inquire, ask for (information)"
しょっちゅう,shocchuu,"frequently, repeatedly"
ロープ,roopu,rope
ストライキ,sutoraiki,strike
パンク,panku,flat tire
コマーシャル,komaasharu,"commercial, advertising"
チェンジ,chenji,"change, exchange"
待ち合わせ,machiawase,"meeting with someone, appointment"
時差,jisa,time difference
義理,giri,"sense of duty, obligation"
さっと,satto,quickly
左利き,hidarikiki,left-handedness
サボる,saboru,"slack of, ditch"
だるい,darui,"feel run-down, weary"
ポット,potto,"pot, thermos"
レントゲン,rentogen,X-rays
心強い,kokoroduyoi,"reassuring, heartening"
無駄遣い,mudadukai,wasteful spending
バッジ,bajji,badge
眼科,ganka,"ophthalmology, eye clinic"
履歴書,rirekisho,"resume, curriculum vitae"
インフレーション,infureeshon,inflation
癌,gan,cancer
ぺこぺこ,pekopeko,"bow, kowtow"
嘘つき,usotsuki,liar
おごる,ogoru,"treat, pay for (someone)"
十字路,juujiro,crossroads
びっしょり,bisshori,"drenched, soaked"
だぶだぶ,dabudabu,"baggy, too big"
おだてる,odateru,flatter
かかと,kakato,heel
ほっと,hotto,feel relieved
傷付ける,kizutsukeru,"hurt (someone), damage (something)"
うつむく,utsumuku,"look down, lower one’s eyes"
前売り券,maeuriken,advance ticket
短期,tanki,short-term
舐める,nameru,lick
本日,honjitsu,today (formal)
業界,gyoukai,"industry, business world"
ネットワーク,nettowaaku,network
弁護士,bengoshi,"lawyer, attorney"
入力,nyuuryoku,"input, entry"
前回,zenkai,last time
画面,gamen,screen
後半,kouhan,"latter half, second half"
自信,jishin,confidence
素敵,suteki,"lovely, nice"
当たり前,atarimae,"no wonder, natural"
やり方,yarikata,way of doing
わずか,wazuka,"meager, marginal"
ついに,tsuini,"at last, at length"
次回,jikai,next time
スピード,supiido,speed
バイト,baito,part-time job
不可能,fukanou,impossible
アドバイス,adobaisu,advice
落ち着く,ochitsuku,"calm down, settle in"
せっかく,sekkaku,with much trouble
つい,tsui,"inadvertently, carelessly"
大手,oote,major company
部長,buchou,department head
前半,zenhan,first half
たまたま,tamatama,"by chance, accidentally"
相変わらず,aikawarazu,"as usual, as before"
支払い,shiharai,payment
人数,ninzuu,number of people
課長,kachou,section chief
ファッション,fasshon,fashion
体調,taichou,health condition
付き合う,tsukiau,"socialize with, see (someone)"
ショッピング,shoppingu,shopping
あり,ari,ant
最悪,saiaku,worst
かえる,kaeru,frog
おじさん,ojisan,"Mister, middle-aged man"
得,toku,"advantage, gain"
掴む,tsukamu,"grip, grab"
知り合い,shiriai,acquaintance
ペース,peesu,pace
作成,sakusei,"to produce, to make"
親子,oyako,parent and child
話し合い,hanashiai,"talk, discussion"
本社,honsha,head office of a company
打ち合わせ,uchiawase,"meeting, arrangement"
見守る,mimamoru,"watch, keep watch over"
売り上げ,uriage,"sales, proceeds"
かえって,kaette,"rather, instead"
アイドル,aidoru,idol
何となく,nantonaku,for some reason
年末,nenmatsu,end of year
無意識,muishiki,"unconsciously, unintentionally"
駅前,ekimae,in front of the station
やって来る,yattekuru,come all the way
キッチン,kicchin,kitchen
キス,kisu,kiss
慌てる,awateru,"be flustered, be in a hurry"
都内,tonai,in the metropolitan area of Tokyo
残業,zangyou,overtime work
曖昧,aimai,"ambiguous, vague"
カタログ,katarogu,catalogue
殴る,naguru,"hit, punch"
両手,ryoute,both hands
仲良く,nakayoku,"harmoniously, getting along"
始め,hajime,"beginning, initial part"
知り合う,shiriau,"get acquainted with, get to know (someone)"
お手伝い,otetsudai,"help, assistance (polite)"
マナー,manaa,manners
カラオケ,karaoke,karaoke
二度と,nidoto,never again
片手,katate,one hand
おばさん,obasan,middle-aged woman
保育園,hoikuen,"day-care center, nursery school"
ずれる,zureru,"go off track, go out of line"
ビーチ,biichi,beach
せいぜい,seizei,"at most, at best"
後期,kouki,"latter term, second half"
エアコン,eakon,"air-conditioning, air conditioner"
ゆったり,yuttari,"comfortable, easy fit"
ハードウェア,haadowea,hardware
リクエスト,rikuesuto,request
翌年,yokunen,the following year
キャンセル,kyanseru,cancellation
車内,shanai,inside a vehicle or a train
大声,oogoe,loud voice
無責任,musekinin,irresponsible
片方,katahou,"one side, the other one"
ボリューム,boryuumu,volume
前方,zenpou,"front, ahead"
日本酒,nihonshu,Japanese rice wine
青空,aozora,blue sky
不自然,fushizen,"unnatural, artificial"
昨晩,sakuban,"last night, last evening (formal)"
市役所,shiyakusho,"municipal office, city hall"
フルーツ,furuutsu,fruit
年々,nennen,year by year
後方,kouhou,"back, rear"
お詫び,owabi,"apologize, apology"
大根,daikon,oriental radish
むく,muku,peel (something)
例年,reinen,"typical year, average year"
締め切り,shimekiri,deadline
正に,masani,"just, surely"
蛇,hebi,snake
ラッシュ,rasshu,"rush, rush hour"
大げさ,oogesa,exaggerated
無理やり,muriyari,"forcibly, against one’s will"
外食,gaishoku,"eating out, dining out"
キャベツ,kyabetsu,cabbage
手足,teashi,"hands and feet, limbs"
閉店,heiten,shop closing
百貨店,hyakkaten,department store
クッキー,kukkii,cookie
車椅子,kurumaisu,wheelchair
大雨,ooame,heavy rain
鳩,hato,"pigeon, dove"
中級,chuukyuu,"middle-class, intermediate"
おにぎり,onigiri,rice ball
ひょっとしたら,hyottoshitara,perhaps
ぐるぐる,guruguru,round and round
和食,washoku,Japanese-style food
どく,doku,"get out of the way, step aside"
ウエスト,uesuto,waist
忘年会,bounenkai,year-end party
包丁,houchou,kitchen knife
ゴールデンウィーク,goorudenwiiku,golden week
シューズ,shuuzu,shoes
未成年,miseinen,"minor, underage"
甥,oi,nephew
葉っぱ,happa,leaf
やり直す,yarinaosu,do over again
大晦日,oomisoka,new year’s eve
サングラス,sangurasu,sunglasses
病人,byounin,sick person
顔色,kaoiro,"complexion, facial expression"
金色,kiniro,golden color
にらむ,niramu,"glare, stare"
つかまる,tsukamaru,hold on to (something)
足首,ashikubi,ankle
散らかる,chirakaru,"be in a mess, lie scattered"
上がる,agaru,get nervous
かぼちゃ,kabocha,pumpkin
水族館,suizokukan,aquarium
品切れ,shinagire,sold out
腫れる,hareru,"swell up, be swollen"
やり直し,yarinaoshi,"doing over, redoing"
バーゲン,baagen,bargain sale
男らしい,otokorashii,"manly, masculine"
近道,chikamichi,shortcut
トースト,toosuto,toast
好奇心,koukishin,curiosity
実用的,jitsuyouteki,practical
客観的,kyakkanteki,objective
抽象的,chuushouteki,abstract
送別会,soubetsukai,farewell party
敷金,shikikin,"deposit, security deposit"
日米,nichibei,Japan and the US
専門家,senmonka,"specialist, expert"
ホット,hotto,hot
わさび,wasabi,Japanese horseradish
初詣,hatsumoude,first shrine visit of the new year
ジョギング,jogingu,jogging
社会人,shakaijin,working member of society
大急ぎ,ooisogi,in a great hurry
セルフサービス,serufusaabisu,self-service
くしゃくしゃ,kushakusha,"messy, crumpled"
食パン,shokupan,bread in a rectangular shape
人差し指,hitosashiyubi,"index finger, forefinger"
洋食,youshoku,Western food
じめじめ,jimejime,damp
じろじろ,jirojiro,staringly
つるつる,tsurutsuru,"smooth, slippery"
こしょう,koshou,pepper
びしょびしょ,bishobisho,"soaking wet, soaked"
ぎゅうぎゅう,gyuugyuu,"packed, crammed"
バツ,batsu,"cross, x-mark (on errors, mistakes etc.)"
水色,mizuiro,light blue
領収書,ryoushuusho,bill of receipt (for payment only)
自然に,shizenni,naturally
とんかつ,tonkatsu,pork cutlet
ねぎ,negi,"spring onion, green onion"
きゅうり,kyuuri,cucumber
鰻,unagi,eel
まぐろ,maguro,tuna
パイナップル,painappuru,pineapple
ほうれん草,hourensou,spinach
マヨネーズ,mayoneezu,mayonnaise
玉ねぎ,tamanegi,onion
焼き肉,yakiniku,"grilled meat, barbecued meat"
目薬,megusuri,eye drops
寝過ごす,nesugosu,oversleep
国際的,kokusaiteki,international
国際化,kokusaika,internationalization
区役所,kuyakusho,ward office
和室,washitsu,Japanese-style room
本格的,honkakuteki,"authentic, serious"
高速道路,kousokudouro,"freeway, expressway"
とりあえず,toriaezu,"for now, for the time being"
先に,sakini,"before, ahead"
ぎりぎり,girigiri,"just in time, barely"
慌ただしい,awatadashii,busy and hurried
今ごろ,imagoro,"by now, at this time"
くっ付く,kuttsuku,"stick, be attached"
北風,kitakaze,north wind
海老,ebi,shrimp
思い切って,omoikitte,"daringly, taking the plunge"
はっと,hatto,"taken aback, startled"
宛先,atesaki,recipient’s address
ばらばら,barabara,"separately, discretely"
乗車券,joushaken,"train ticket, bus ticket"
ぶるぶる,buruburu,"shivering, trembling"
すらすら,surasura,"smoothly, easily"
終電,shuuden,last train
ずるい,zurui,"cunning, sneaky"
すやすや,suyasuya,"(sleep) peacefully, soundly"
がたがた,gatagata,"with a rattling noise, unstable"
非常口,hijouguchi,emergency exit
ざらざら,zarazara,"rough, gritty"
ぬるぬる,nurunuru,slimy
女らしい,onnarashii,"womanly, feminine"
急用,kyuuyou,urgent business
きょろきょろ,kyorokyoro,look around
ぐずぐず,guzuguzu,"slowly, tardily"
ぽかぽか,pokapoka,pleasantly warm
洗い物,araimono,dishes to be washed
かっと,katto,"in a temper, in a rage"
どきっと,dokitto,"surprised, shocked"
乗り遅れる,noriokureru,"miss (a train, bus, etc.)"
くたくた,kutakuta,exhausted
すべすべ,subesube,"smooth, silky"
にやにや,niyaniya,grin to oneself
あだ名,adana,nickname
後片付け,atokataduke,cleaning up
イカ,ika,squid
うきうき,ukiuki,excitedly
可愛がる,kawaigaru,"love, cherish"
餃子,gyouza,Chinese dumpling
げらげら,geragera,(laugh) out loud
ごめん,gomen,sorry
明々後日,shiasatte,three days from today
削減,sakugen,"cutdown, reduction"
贅沢,zeitaku,"luxury, extravagance"
そのうち,sonouchi,"before long, sooner or later"
でこぼこ,dekoboko,"unevenness, bumpiness"
手のひら,tenohira,palm
裸足,hadashi,bare feet
べたべた,betabeta,"stick together, sticky"
眉毛,mayuge,eyebrows
割り箸,waribashi,disposable chopsticks
日付け,hiduke,"date (written in a document, etc.)"
ぴたりと,pitarito,"suddenly, coming to a dead stop"
まな板,manaita,chopping board
筆記用具,hikkiyougu,"pens and pencils, writing materials"
くすぐる,kusuguru,tickle
かんかん,kankan,"furiously angry, in a rage"
白線,hakusen,white (warning) line
見覚え,mioboe,"recognition, remembrance"
これまで,koremade,"until now, until here"
からす,karasu,"crow, raven"
噛み付く,kamitsuku,bite
